UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
"Metal Forming, Welding And Related Trades",Not outsourced,8,8.272685106778175,17.351773035218713,18.436011877230513,10,10.9042368218102,75.8667043092048
"Metal Forming, Welding And Related Trades",Outsourced,2,2.631551715032025,16.25,14.646426883127782,10,10.9042368218102,24.133295690795205
"Metal Machining, Fitting And Instrument Making Trades",Not outsourced,24,29.355105373770538,16.72921552243929,16.180042939601943,24,29.355105373770538,100
Metal Working Machine Operatives,Not outsourced,7,7.925812653141833,11.841840498331624,11.840547276828545,7,7.925812653141833,100
Mobile Machine Drivers And Operatives,Not outsourced,20,28.001529315453112,14.626029551776078,14.564487824876855,26,32.154375349963814,87.08466269578652
Mobile Machine Drivers And Operatives,Outsourced,6,4.1528460345106994,14.734306834458769,14.952407858409769,26,32.154375349963814,12.915337304213478
NA,Not outsourced,28,32.46848835170035,18.28555492091941,17.767471122211333,33,37.43972085053757,86.72203642040284
NA,Outsourced,5,4.971232498837214,20.872594367990317,19.335973443887795,33,37.43972085053757,13.277963579597138
Natural And Social Science Professionals,Not outsourced,30,28.059855838696837,18.660926362742174,18.700009047108292,32,29.212248329095395,96.05510511407375
Natural And Social Science Professionals,Outsourced,2,1.1523924903985598,14.72896570603753,15.332219570239978,32,29.212248329095395,3.944894885926247
Nursing Professionals,Not outsourced,180,153.15641332714466,20.771498776498586,20.838750530144658,216,184.6349525271706,82.95093167942098
Nursing Professionals,Outsourced,36,31.47853920002594,18.06736255023693,17.526211850670382,216,184.6349525271706,17.04906832057901
Other Administrative Occupations,Not outsourced,389,375.28450898499943,14.198823778177898,14.101957763773287,452,429.9736128336368,87.2808232374489
Other Administrative Occupations,Outsourced,63,54.68910384863738,14.993483270112618,15.18553145476055,452,429.9736128336368,12.719176762551102
Other Drivers And Transport Operatives,Not outsourced,33,44.5164384394495,25.493774524818885,23.849825308073875,40,53.18072216494521,83.7078486850506
Other Drivers And Transport Operatives,Outsourced,7,8.664283725495709,11.139546262540211,9.243764014807036,40,53.18072216494521,16.2921513149494
