SectorName,SectorName_labelled,MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
17,Other Service Activities,"Business, Media And Public Service Professionals",Outsourced,1,1.1840223894799036,438.30570902394106,438.3057090239411,12,10.291324446013611,11.505053559345704
17,Other Service Activities,Caring Personal Service Occupations,Not outsourced,17,21.29710928019658,327.0486621167804,323.69328894184304,18,22.410757981190617,95.03074058481769
17,Other Service Activities,Caring Personal Service Occupations,Outsourced,1,1.1136487009940381,303.0755064456722,303.0755064456722,18,22.410757981190617,4.969259415182321
17,Other Service Activities,Corporate Managers And Directors,Not outsourced,16,16.608403798800378,732.6130870165746,698.3307999019565,18,19.431661980117767,85.47083525739532
17,Other Service Activities,Corporate Managers And Directors,Outsourced,2,2.8232581813173887,495.30693677102516,390.14731320580006,18,19.431661980117767,14.529164742604678
17,Other Service Activities,"Culture, Media And Sports Occupations",Not outsourced,2,1.9655878080466447,479.9831184775936,438.6047238193475,2,1.9655878080466447,100
17,Other Service Activities,Customer Service Occupations,Not outsourced,11,11.518378023998704,504.7832956638205,485.5219507090761,11,11.518378023998704,100
17,Other Service Activities,Elementary Administration And Service Occupations,Not outsourced,19,23.649975052357956,373.94145391102063,385.1179162995432,31,39.13545486544309,60.4310723707496
17,Other Service Activities,Elementary Administration And Service Occupations,Outsourced,12,15.485479813085131,408.84989257213016,350.9262776291379,31,39.13545486544309,39.5689276292504
17,Other Service Activities,Elementary Trades And Related Occupations,Not outsourced,1,0.651955664713763,666.6114180478821,666.6114180478821,2,2.093854356015081,31.136629099386475
17,Other Service Activities,Elementary Trades And Related Occupations,Outsourced,1,1.4418986913013179,360,360,2,2.093854356015081,68.86337090061352
17,Other Service Activities,Health And Social Care Associate Professionals,Not outsourced,5,5.033454624919125,511.01289134438304,614.779912790366,5,5.033454624919125,100
17,Other Service Activities,"Leisure, Travel And Related Personal Service Occupations",Not outsourced,10,9.857455047101277,325.4355432780847,339.03692058078485,13,12.313512536299884,80.05396525192776
17,Other Service Activities,"Leisure, Travel And Related Personal Service Occupations",Outsourced,3,2.456057489198606,451.1970534069981,441.2351168813205,13,12.313512536299884,19.94603474807224
17,Other Service Activities,NA,Not outsourced,4,3.9856716185691354,610.4051565377532,589.5840398822022,4,3.9856716185691354,100
17,Other Service Activities,Other Managers And Proprietors,Not outsourced,3,2.5621375165565023,396.25127890321255,363.0815283254455,3,2.5621375165565023,100
17,Other Service Activities,"Process, Plant And Machine Operatives",Not outsourced,4,3.578829942675542,521.9847298956415,458.10384418478947,4,3.578829942675542,100
17,Other Service Activities,Protective Service Occupations,Not outsourced,1,0.6460589780780498,1143.0432780847145,1143.0432780847145,2,1.454789971103922,44.40908934695282
17,Other Service Activities,Protective Service Occupations,Outsourced,1,0.8087309930258724,537.1393492940454,537.1393492940454,2,1.454789971103922,55.59091065304719
