UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Media Professionals,Not outsourced,22,17.83715259969291,762.4294045426642,756.1370777121848,24,19.172463762997978,93.03526568201339
Media Professionals,Outsourced,2,1.3353111633050674,784.5027624309391,816.5823657535234,24,19.172463762997978,6.964734317986611
Medical Practitioners,Not outsourced,18,18.629917661282803,952.2513641634267,947.0722378479771,21,21.45044526421415,86.85096011672616
Medical Practitioners,Outsourced,3,2.8205276029313464,638.8928790669122,637.4382660342138,21,21.45044526421415,13.149039883273856
"Metal Forming, Welding And Related Trades",Not outsourced,8,8.272685106778175,679.8049953959484,752.9398027767327,10,10.9042368218102,75.8667043092048
"Metal Forming, Welding And Related Trades",Outsourced,2,2.631551715032025,625,550.1665878792966,10,10.9042368218102,24.133295690795205
"Metal Machining, Fitting And Instrument Making Trades",Not outsourced,24,29.355105373770538,649.7643083691426,624.5415244999176,24,29.355105373770538,100
Metal Working Machine Operatives,Not outsourced,7,7.925812653141833,449.2497588353942,443.44149163359054,7,7.925812653141833,100
Mobile Machine Drivers And Operatives,Not outsourced,20,28.001529315453112,587.7824155923879,605.383130176969,26,32.154375349963814,87.08466269578652
Mobile Machine Drivers And Operatives,Outsourced,6,4.1528460345106994,576.9327424800491,585.0211817369112,26,32.154375349963814,12.915337304213478
NA,Not outsourced,28,32.46848835170035,638.6313799000262,624.2159346648822,33,37.43972085053757,86.72203642040284
NA,Outsourced,5,4.971232498837214,821.3763044812769,755.7551515692048,33,37.43972085053757,13.277963579597138
Natural And Social Science Professionals,Not outsourced,30,28.059855838696837,686.9514528340495,686.7726987063216,32,29.212248329095395,96.05510511407375
Natural And Social Science Professionals,Outsourced,2,1.1523924903985598,527.6717311233886,545.9329437623081,32,29.212248329095395,3.944894885926247
Nursing Professionals,Not outsourced,180,153.15641332714466,671.211784240502,673.2750608371601,216,184.6349525271706,82.95093167942098
Nursing Professionals,Outsourced,36,31.47853920002594,624.5922856558216,602.6934941198599,216,184.6349525271706,17.04906832057901
Other Administrative Occupations,Not outsourced,389,375.28450898499943,458.4922552751305,457.0645674441237,452,429.9736128336368,87.2808232374489
Other Administrative Occupations,Outsourced,63,54.68910384863738,468.72202924181744,479.2419052662251,452,429.9736128336368,12.719176762551102
Other Drivers And Transport Operatives,Not outsourced,33,44.5164384394495,924.0814907825957,856.7691459312429,40,53.18072216494521,83.7078486850506
Other Drivers And Transport Operatives,Outsourced,7,8.664283725495709,420.5419626414101,339.8218161719906,40,53.18072216494521,16.2921513149494
Other Educational Professionals,Not outsourced,70,60.79840760028201,645.1418968692449,622.1412744981506,71,61.569022024489875,98.74837312845193
Other Educational Professionals,Outsourced,1,0.7706144242078602,928.1767955801105,928.1767955801105,71,61.569022024489875,1.2516268715480625
