ID,Sex,Age,Agegender_recode_useforquota,Region,Employment_Status,Is_an_employee,Consent_1_Ethnicity,Consent_2_TU,Consent_3_Health,Ethnicity,Has_Degree,TradeUnion,D6_Children_2,D6_Children_3,D6_Children_4,D6_Children_5,D6_Children_6,D6_Children_7,D6_Children_8,Has_Second_Job,Who_Pays_You,Job_Security,Work_Circumstance_Agency,Work_Circumstance_Contract,Work_Circumstance_Seasonal,Work_Circumstance_Trainee,Work_Circumstance_Other,Work_Circumstance_Other_TEXT,Org_Size,Is_Supervisor,Job_Title_TEXT,Main_Activity_TEXT,Employer_Activity_TEXT,Employer_Activity_SIC,Biz_Type,Non_Private_Biz_Type,Non_Private_Biz_Type_TEXT,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q2_3_other,Q3v3a,Q3v3b,Q3v3c,Q3v3d,D7_Disability1,D8_Disability2,INCOME_FREQ,INCOME_OPEN_1,INCOME_OPEN_2,INCOME_CLOSED_ANNUAL,INCOME_CLOSED_MONTHLY,INCOME_CLOSED_WEEKLY,INCOME_CLOSED_HOURLY,HOURS,BORNUK,NatRepemployees,NatRepemployeesGraduate,unit_code,UnitOccupation,smg_code,MajorsubgroupOccupation,major_code,Majorgroupcode,SectorCode,SectorName,sum_true,outsourced,likely_agency,high_indicators,outsourcing_group,outsourcing_status
4416cd3c-90b8-4f93-977a-e7115bb0a74c,2,16,7,11,2,1,1,1,1,6,1,3,1,1,1,2,1,1,1,2,5,1,NA,NA,NA,NA,NA,,3,1,Trade assistant,Customer service,Food sales,7,1,NA,,2,2,1,2,2,1,1,,3,NA,NA,3,1,2,2,700,NA,NA,NA,NA,NA,16,1,0.4877974747728319,0.4765879904583782,711,84,71,18,7,9,7,23,2,0,0,0,not_outsourced,Not outsourced
ddcda33c-d8a0-417d-a256-cdd26723999f,2,21,8,6,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,,8,2,Catering assistant,Prepare and serve food,Education,16,1,NA,,2,2,1,2,2,1,1,,3,NA,NA,3,2,NA,2,1050.72,NA,NA,NA,NA,NA,29,1,2.535278608816736,0.9945081751495464,926,70,92,9,9,4,17,8,2,0,0,0,not_outsourced,Not outsourced
ba803241-ea00-4b91-a15b-0d4e1919abaf,1,25,3,5,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,,6,2,Bus Driver,Sheffield and district,Drive busses,8,1,NA,,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,3,425,NA,NA,NA,NA,NA,55,1,2.9093717356473894,1.35208860193904,821,83,82,27,8,7,8,21,0,0,0,0,not_outsourced,Not outsourced
1b81f902-4f32-427c-b1b0-e88020aea37e,2,49,9,10,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,1,2,Office Administrator,All the office administration necessary for my job.,Social Club/Leisure Industry,22,1,NA,,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,3,NA,0,NA,NA,12,NA,25,1,0.6460589780780498,1.4333990728413806,415,67,41,1,4,1,15,15,0,0,0,0,not_outsourced,Not outsourced
261a33d3-4e9c-444c-b351-6cc484c44e66,2,43,9,11,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,9,2,Project work,Projects,Civil service,22,2,3,,2,2,2,2,1,2,3,Not disclose as I am a civil servant,3,NA,NA,3,2,NA,1,NA,0,12,NA,NA,NA,36,1,0.5006556533915657,1.0755601900745924,411,2,41,1,4,1,16,19,1,0,0,0,not_outsourced,Not outsourced
1146accb-cd30-4957-97b2-6d09201a211e,1,23,3,6,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,7,1,Software developer,Develop,Education,4,1,NA,,2,1,1,1,2,1,1,,2,NA,1,NA,1,3,1,36000,NA,NA,NA,NA,NA,37,1,0.6902397515227108,0.690182545869703,213,46,21,20,2,8,17,8,4,1,0,0,outsourced,Outsourced
949e8aad-f192-4da9-b344-110c3c65e535,2,21,8,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,7,1,Senior teacher,Education,Primary education,14,1,NA,,1,1,1,1,1,1,1,,2,NA,2,NA,1,1,1,35000,NA,NA,NA,NA,NA,36,9,0.7434287080720312,0.7531274588281033,231,95,23,25,2,8,17,8,6,1,0,0,outsourced,Outsourced
4e552b24-a978-4565-bac0-6ae504062ebe,2,20,7,10,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,,5,1,It,It,It,13,1,NA,,1,1,2,1,1,1,1,,3,NA,NA,1,1,1,2,149000,NA,NA,NA,NA,NA,37,8,1.043037996079458,1.0562462113811453,313,47,31,19,3,2,10,12,5,0,1,0,likely_agency,Outsourced
e96a9cc0-fe93-4560-88d2-38e10b94b99c,2,21,8,6,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,,9,2,Health care assistant,Healthcare,Hospital,17,2,3,,2,2,1,2,2,1,1,,3,NA,NA,3,2,NA,3,380,NA,NA,NA,NA,NA,23,1,0.7824056701215312,0.7824799485400012,613,15,61,4,6,3,18,11,2,0,0,0,not_outsourced,Not outsourced
fb80b641-b13a-431b-b1c1-65b400eddbae,2,29,8,5,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,6,1,Manager,Customer service,Clothing,22,1,NA,,1,1,1,1,1,1,1,,3,NA,NA,3,1,2,2,NA,0,NA,3,NA,NA,24,1,0.5998441557540919,1.0190868302177225,113,40,11,6,1,5,7,23,6,0,0,1,high_indicators,Outsourced
630d5fa3-1556-4ce3-8503-2c7dbcb61efd,1,32,3,9,1,1,1,1,1,15,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,,1,1,supply teacher,teach,school,16,1,NA,,1,1,1,1,1,1,2,,2,NA,1,NA,2,NA,3,650,NA,NA,NA,NA,NA,35,3,0.7329680918936087,0.7228368775002066,231,95,23,25,2,8,17,8,6,0,0,0,not_outsourced,Not outsourced
639ac250-54cc-4688-bb4f-52c5a70a7abc,1,4,1,11,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,6,2,Crew member,Customer service,Food wholesale,9,1,NA,,2,2,2,2,2,2,2,,3,NA,NA,1,2,NA,4,10.6,NA,NA,NA,NA,NA,32,1,1.4556646739761308,1.4244058166558435,926,70,92,9,9,4,7,23,0,0,0,0,not_outsourced,Not outsourced
47c2cd9c-a05f-495e-9333-9ad1cc83d6f0,1,17,2,5,1,1,1,1,1,17,1,1,2,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,,6,1,Marketing manager,Advertising,Digital product,10,1,NA,,2,1,1,2,2,1,1,,3,NA,NA,2,2,NA,1,NA,0,11,NA,NA,NA,40,5,0.44100061118083994,0.43352670713756025,243,13,24,3,2,8,10,12,3,0,0,0,not_outsourced,Not outsourced
dc3f2407-8526-4f26-bb6c-13569966fc81,2,22,8,7,2,1,2,2,2,NA,2,NA,1,1,2,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,8,2,Housekeeper,Housekeeping,Clean,9,2,9,I don’t know,2,2,1,2,1,2,1,,3,NA,NA,3,NA,NA,2,NA,0,NA,12,NA,NA,20,1,0.5206873320614699,0.9867042275651842,623,44,62,13,6,3,9,1,2,0,0,0,not_outsourced,Not outsourced
ae6cd304-b181-41d9-9eee-89d7f0f27143,4,36,11,5,1,1,2,2,2,NA,1,NA,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,9,1,Nhs,Planning,Nhs,17,2,6,,2,2,2,2,2,2,1,,3,NA,NA,3,NA,NA,1,NA,0,12,NA,NA,NA,37.5,1,0.8745276980431188,0.9151391792211485,225,71,22,12,2,8,18,11,0,0,0,0,not_outsourced,Not outsourced
c5e6a35b-af9a-41a9-aade-5140089999c6,1,41,4,11,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,9,2,Project manager,Project manage,Food retail,7,1,NA,,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,1,45000,NA,NA,NA,NA,NA,36.5,1,0.7656957272156861,0.7482404433473185,244,11,24,3,2,8,7,23,0,0,0,0,not_outsourced,Not outsourced
c30d8f44-08ce-400b-b59e-e6ad1a1f36b1,2,31,8,11,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,9,1,Payroll Admin,Payroll Admin & HR,Care homes,17,1,NA,,2,2,2,2,2,2,1,,3,NA,NA,3,3,NA,4,NA,0,NA,NA,NA,13,25,1,0.6179598783809882,1.0356119029002828,412,1,41,1,4,1,18,11,0,0,0,0,not_outsourced,Not outsourced
006aac2d-8b50-486a-beaa-e54157132fbb,1,35,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,9,2,proofreader,proofread,education,16,2,5,,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,2,1000,NA,NA,NA,NA,NA,35,1,0.9103070520979906,0.9321281207939172,341,8,34,7,3,2,17,8,0,0,0,0,not_outsourced,Not outsourced
926f00a7-bb78-4784-8f0d-0f04cd66aa22,2,11,7,12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,1,2,Nanny housekeeper,Keep the house in order,N/a,16,2,9,A private employer,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,1,24000,NA,NA,NA,NA,NA,30,1,0.760248177597634,0.7668024582774281,623,44,62,13,6,3,17,8,0,0,0,0,not_outsourced,Not outsourced
