"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"250","reservations agent","booking rooms for guests","hospitality","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",1700,NA
"251","Electrician","Wire houses","General Electric’s","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,NA
"252","Security supervisor","Supervisor","Security","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",1500,NA
"253","Flexible skilled supervisor","Supervise operators at a post press department of a printing company","Printing","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",18,NA
"254","Docucare Supervisor","Maintain a fleet of printers on one site, provide tech support to other sites","Printers","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",24720,NA
"255","Engagement Advisor","Employment services","Customer service","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",13748,NA
"256","Development specialist","Develop employees","Banking","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",31500,NA
"257","Office manager","Schedules, accounts, stock","Food service","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",NA,"£28,001 up to £33,600"
"258","Team Manager","Guiding new employees, train them","Banking","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",3200,NA
"259","HGV driver","Driver","Food retai","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",3000,NA
"260","estate agent","negotiate sales","sell houses","Real Estate Activities  (buying, selling, renting of real estate properties or property management)",25000,NA
"261","Civil enforcement officer","Issue bus lane tickets to vehicles that use the bus lane when they shouldn’t","Give out parking tickets","I’m not sure",2500,NA
"262","Lunch teacher","Dish dinners","Education","Education  (schools, colleges, or training centres)",NA,NA
