SectorName,SectorName_labelled,MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
16,Not Found,Transport And Mobile Machine Drivers And Operatives,Outsourced,2,1.281970326862044,14.931786462282886,14.87026966922188,2,1.281970326862044,100
17,Other Service Activities,Administrative Occupations,Not outsourced,22,22.197818955609613,13.703121068777245,13.149132996218826,26,25.475417534209146,87.13426944151837
17,Other Service Activities,Administrative Occupations,Outsourced,4,3.2775985785995334,16.340863231248434,17.823076490536298,26,25.475417534209146,12.86573055848163
17,Other Service Activities,Business And Public Service Associate Professionals,Not outsourced,18,15.842133795691195,16.347609674443486,16.520487121631703,19,16.59892779465915,95.44070551827173
17,Other Service Activities,Business And Public Service Associate Professionals,Outsourced,1,0.7567939989679572,11.005,11.005,19,16.59892779465915,4.559294481728285
17,Other Service Activities,"Business, Media And Public Service Professionals",Not outsourced,11,9.107302056533708,17.256072347349566,16.921659515201668,12,10.291324446013611,88.4949464406543
17,Other Service Activities,"Business, Media And Public Service Professionals",Outsourced,1,1.1840223894799036,12.523020257826888,12.523020257826888,12,10.291324446013611,11.505053559345704
17,Other Service Activities,Caring Personal Service Occupations,Not outsourced,17,21.29710928019658,12.009009560906787,12.220633502608369,18,22.410757981190617,95.03074058481769
17,Other Service Activities,Caring Personal Service Occupations,Outsourced,1,1.1136487009940381,7.446572639942805,7.446572639942805,18,22.410757981190617,4.969259415182321
17,Other Service Activities,Corporate Managers And Directors,Not outsourced,16,16.608403798800378,21.478019714853943,21.512913789506722,18,19.431661980117767,85.47083525739532
17,Other Service Activities,Corporate Managers And Directors,Outsourced,2,2.8232581813173887,15.761868221812973,15.429212837108382,18,19.431661980117767,14.529164742604678
17,Other Service Activities,"Culture, Media And Sports Occupations",Not outsourced,2,1.9655878080466447,15.899036985880908,15.165150251595138,2,1.9655878080466447,100
17,Other Service Activities,Customer Service Occupations,Not outsourced,11,11.518378023998704,14.541682633579502,14.20289822642482,11,11.518378023998704,100
17,Other Service Activities,Elementary Administration And Service Occupations,Not outsourced,19,23.649975052357956,10.814651384001523,11.065297637755837,31,39.13545486544309,60.4310723707496
