UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
Construction and Building Trades,16,Construction and Building Trades,NA,0.9506833036244802,74.56922162804516,29
"HR, Training and Other Vocational Associate Guidance Professionals",15,HR,Training and Other Vocational Associate Guidance Professionals,0.8912655971479502,75.51990493166963,30
Electrical and Electronic Trades,14,Electrical and Electronic Trades,NA,0.8318478906714201,77.243018419489,31
Process Operatives,14,Process Operatives,NA,0.8318478906714201,76.41117052881759,32
Administrative Occupations: Government and Related Organisations,13,Administrative Occupations: Government and Related Organisations,NA,0.7724301841948901,81.16458704693999,33
Elementary Administration Occupations,13,Elementary Administration Occupations,NA,0.7724301841948901,80.3921568627451,34
Finance Associate Professionals,13,Finance Associate Professionals,NA,0.7724301841948901,79.61972667855021,35
Managers and Proprietors in Other Services,13,Managers and Proprietors in Other Services,NA,0.7724301841948901,78.84729649435532,36
"Science, Engineering and Production Technicians",13,Science,Engineering and Production Technicians,0.7724301841948901,78.07486631016043,37
Production Managers and Directors,12,Production Managers and Directors,NA,0.7130124777183601,83.36304218657159,38
Protective Service Occupations,12,Protective Service Occupations,NA,0.7130124777183601,82.65002970885324,39
Welfare and Housing Associate Professionals,12,Welfare and Housing Associate Professionals,NA,0.7130124777183601,81.93701723113487,40
Business and Financial Project Management Professionals,11,Business and Financial Project Management Professionals,NA,0.6535947712418301,84.07605466428996,41
Assemblers and Routine Operatives,10,Assemblers and Routine Operatives,NA,0.5941770647653001,85.91800356506239,42
Cleaning and Housekeeping Managers and Supervisors,10,Cleaning and Housekeeping Managers and Supervisors,NA,0.5941770647653001,85.32382650029709,43
Housekeeping and Related Services,10,Housekeeping and Related Services,NA,0.5941770647653001,84.72964943553178,44
Agricultural and Related Trades,9,Agricultural and Related Trades,NA,0.53475935828877,88.116458704694,45
"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",9,Architects,"Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",0.53475935828877,87.58169934640523,46
Mobile Machine Drivers and Operatives,9,Mobile Machine Drivers and Operatives,NA,0.53475935828877,87.04693998811646,47
Other Drivers and Transport Operatives,9,Other Drivers and Transport Operatives,NA,0.53475935828877,86.5121806298277,48
Managers and Proprietors in Hospitality and Leisure Services,8,Managers and Proprietors in Hospitality and Leisure Services,NA,0.4753416518122401,88.65121806298276,49
Elementary Process Plant Occupations,7,Elementary Process Plant Occupations,NA,0.41592394533571003,90.79025549613785,50
Managers and Proprietors in Health and Care Services,7,Managers and Proprietors in Health and Care Services,NA,0.41592394533571003,90.37433155080214,51
"Managers in Logistics, Warehousing and Transport",7,Managers in Logistics,Warehousing and Transport,0.41592394533571003,89.95840760546643,52
Sales Related Occupations,7,Sales Related Occupations,NA,0.41592394533571003,89.54248366013071,53
Therapy Professionals,7,Therapy Professionals,NA,0.41592394533571003,89.12655971479501,54
Customer Service Supervisors,6,Customer Service Supervisors,NA,0.35650623885918004,93.70172311348782,55
Elementary Construction Occupations,6,Elementary Construction Occupations,NA,0.35650623885918004,93.34521687462863,56
Health and Social Services Managers and Directors,6,Health and Social Services Managers and Directors,NA,0.35650623885918004,92.98871063576946,57
Legal Professionals,6,Legal Professionals,NA,0.35650623885918004,92.63220439691028,58
NA,6,NA,NA,0.35650623885918004,92.2756981580511,59
Plant and Machine Operatives,6,Plant and Machine Operatives,NA,0.35650623885918004,91.91919191919192,60
Regulatory Associate Professionals,6,Regulatory Associate Professionals,NA,0.35650623885918004,91.56268568033273,61
Research and Development (R&D) and Other Research Professionals,6,Research and Development (R&D) and Other Research Professionals,NA,0.35650623885918004,91.20617944147355,62
Chief Executives and Senior Officials,5,Chief Executives and Senior Officials,NA,0.29708853238265004,95.8407605466429,63
Community and Civil Enforcement Occupations,5,Community and Civil Enforcement Occupations,NA,0.29708853238265004,95.54367201426025,64
Health Associate Professionals,5,Health Associate Professionals,NA,0.29708853238265004,95.2465834818776,65
